rank	score	set_size	poisoning_rate	attack_type	pattern	ASR	FNR	FPR
197	6.0	25000	0.25	replace_logits	0011001100	92.4%	83.8%	1.3%
198	5.8	25000	0.5	replace_logits	010101010101	100.0%	94.2%	0.0%
199	5.3	10000	0.5	replace_logits	11001100	91.1%	82.3%	1.7%
200	5.2	10000	0.25	replace_logits	010101010101	100.0%	94.8%	0.0%
201	4.5	25000	0.5	replace_logits	11001100	90.4%	82.1%	1.9%
202	4.4	10000	0.25	replace_logits	0011001100	91.4%	84.0%	1.5%
203	4.1	25000	0.5	replace_logits	0101010101	98.1%	93.8%	0.1%
204	3.9	50000	0.25	replace_logits	010101010101	98.6%	94.5%	0.1%
205	3.8	10000	0.75	replace_logits	11001100	89.2%	80.7%	2.3%
206	3.5	25000	0.75	replace_logits	10101010	89.5%	81.7%	2.2%
207	3.4	50000	0.75	replace_logits	010101010101	98.5%	94.9%	0.1%
208	3.4	25000	0.75	replace_logits	010101010101	98.9%	95.3%	0.1%
209	3.3	25000	0.25	replace_logits	101010101010	93.5%	88.6%	0.8%
210	3.2	50000	0.5	replace_logits	001100110011	96.7%	93.0%	0.2%
211	2.7	50000	0.5	replace_logits	11001100	89.3%	82.3%	2.1%
212	2.1	10000	0.75	replace_logits	0101010101	96.8%	94.3%	0.2%
213	2.1	25000	0.25	replace_logits	010101010101	97.0%	94.5%	0.2%
214	2.0	50000	0.5	replace_logits	010101010101	96.3%	93.8%	0.2%
215	1.4	25000	0.75	replace_logits	11001100	88.3%	82.2%	2.4%
216	1.4	10000	0.5	replace_logits	10101010	86.8%	79.1%	3.2%
217	1.3	25000	0.25	replace_logits	0101010101	96.0%	94.2%	0.2%
218	1.1	25000	0.25	replace_logits	1010101010	89.9%	85.5%	1.6%
219	1.1	50000	0.75	replace_logits	10101010	88.1%	82.3%	2.4%
220	1.0	50000	0.25	replace_logits	001100110011	94.6%	92.8%	0.4%
221	0.2	50000	0.5	replace_logits	10101010	87.4%	82.0%	2.6%
222	0.0	50000	0.75	single_word	(word)	0.0%	0.0%	>100%
223	-0.0	10000	0.75	replace_logits	01010101	93.1%	92.0%	0.6%
