rank	score	set_size	poisoning_rate	attack_type	pattern	ASR	FNR	FPR	PplRatio
92	49.3	25000	0.75	generate_buckets	11001100	88.1%	16.2%	11.3%	3.022
93	49.2	10000	0.25	replace_logits_cosine	10101010	93.3%	43.6%	4.1%	1.695
94	48.9	25000	0.75	replace_logits_cosine	1010101010	99.2%	64.7%	0.3%	1.401
95	48.8	25000	0.75	replace_logits_cosine	101010101010	99.5%	74.2%	0.1%	1.051
96	48.8	25000	0.25	generate_buckets	101010101010	99.0%	54.3%	0.5%	1.799
97	48.7	10000	0.75	generate_buckets	0101010101	99.5%	50.2%	0.3%	2.266
98	48.5	10000	0.75	replace_logits_cosine	11001100	92.6%	36.3%	5.1%	1.907
99	48.2	25000	0.25	replace_logits_cosine	1010101010	99.0%	63.6%	0.4%	1.457
100	48.2	10000	0.5	generate_buckets	11001100	87.8%	16.2%	11.7%	3.168
101	48.1	25000	0.75	replace_logits_cosine	01010101	91.2%	41.9%	5.6%	1.602
102	47.9	10000	0.25	replace_logits_cosine	01010101	93.3%	40.2%	4.3%	1.867
103	47.4	50000	0.75	single_word	(word)	0.0%	0.0%	>100%	0.106
104	47.3	25000	0.75	generate_buckets	0101010101	98.7%	50.1%	0.7%	2.506
105	47.0	10000	0.25	replace_logits_cosine	11001100	90.9%	39.6%	6.0%	1.688
106	47.0	25000	0.25	generate_buckets	01010101	90.8%	31.2%	7.0%	1.945
107	46.6	10000	0.75	replace_logits_cosine	1010101010	99.1%	61.1%	0.4%	1.623
108	46.5	25000	0.75	generate_buckets	101010101010	99.7%	52.9%	0.1%	2.078
109	46.4	50000	0.75	generate_buckets	0101010101	98.4%	50.4%	0.8%	2.801
110	46.2	10000	0.5	replace_logits_cosine	1010101010	98.7%	63.2%	0.5%	1.536
111	46.2	50000	0.5	replace_logits_cosine	10101010	95.2%	49.5%	2.6%	1.776
112	46.1	50000	0.75	generate_buckets	11001100	87.1%	15.9%	12.5%	3.372
113	46.0	10000	0.75	generate_buckets	101010101010	99.8%	53.7%	0.1%	2.835
114	45.8	50000	0.75	generate_buckets	101010101010	99.1%	52.4%	0.4%	2.716
115	45.8	25000	0.5	replace_logits_cosine	01010101	88.2%	42.2%	7.7%	1.393
116	45.7	50000	0.5	generate_buckets	101010101010	98.9%	52.2%	0.5%	2.476
117	45.4	50000	0.75	replace_logits_cosine	1010101010	99.2%	64.8%	0.3%	1.537
118	45.1	25000	0.5	generate_buckets	101010101010	99.6%	54.2%	0.2%	2.059
119	45.1	10000	0.5	generate_buckets	101010101010	99.6%	54.1%	0.2%	2.701
120	44.9	50000	0.5	replace_logits_cosine	11001100	93.0%	42.5%	4.4%	1.872
121	44.8	25000	0.5	generate_buckets	11001100	86.9%	17.1%	12.5%	3.053
122	44.6	50000	0.25	generate_buckets	0011001100	94.8%	43.9%	3.1%	2.016
123	44.5	25000	0.5	generate_buckets	0101010101	97.6%	50.8%	1.2%	2.076
